formulaRank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScoreNormalized,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks(ppm),medianAbsoluteMassErrorFragmentPeaks(ppm),massErrorPrecursor(ppm),lipidClass,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
2,C17H37N4O2,[M + H]+,C17H38N4O2+,,0.000,81.297,79.945,1.353,32,0.763,-2.729,4.932,3.486,,330.300,667,11.120,745829482069363647,745741816962016091,10283,
3,C15H35N7O,[M + H]+,C15H36N7O+,,0.000,42.866,42.866,0.000,27,0.698,0.308,4.416,7.551,,330.300,667,11.120,745829482069363648,745741816962016091,10283,
4,C17H36FN5,[M + H]+,C17H37FN5+,,0.000,29.676,28.206,1.470,16,0.325,-1.900,5.132,-8.088,,330.300,667,11.120,745829482069363649,745741816962016091,10283,
5,C18H40N3P,[M + H]+,C18H41N3P+,,0.000,14.481,13.188,1.293,17,0.335,-3.095,7.088,-9.634,,330.300,667,11.120,745829482069363650,745741816962016091,10283,
6,C22H37N2,[M + H]+,C22H38N2+,,0.000,7.858,6.852,1.006,9,0.143,-4.789,4.789,-8.693,,330.300,667,11.120,745829482069363651,745741816962016091,10283,
1,C8H10O,[M + H]+,C8H11O+,,0.938,28.160,26.516,1.644,5,0.562,2.155,4.311,3.743,,123.081,668,11.129,745829482631400465,745741622421769531,672,
2,C5H11FO2,[M + H]+,C5H12FO2+,,0.062,25.438,23.564,1.875,5,0.562,-10.606,10.606,-5.542,,123.081,668,11.129,745829482631400466,745741622421769531,672,
3,C3H9FN3O,[M + H]+,C3H10FN3O+,,0.000,18.025,18.025,0.000,5,0.562,6.419,6.419,5.367,,123.081,668,11.129,745829482631400467,745741622421769531,672,
4,C4H13NOP,[M + H]+,C4H14NOP+,,0.000,7.814,6.500,1.314,3,0.290,-0.830,1.862,1.219,,123.081,668,11.129,745829482631400468,745741622421769531,672,
5,C6H8N3,[M + H]+,C6H9N3+,,0.000,0.899,0.870,0.029,3,0.365,9.765,9.765,14.652,,123.081,668,11.129,745829482631400469,745741622421769531,672,
6,C3H12N3S,[M + H]+,C3H13N3S+,,0.000,-0.454,-0.454,0.000,0,0.000,-12.836,12.836,-12.737,,123.081,668,11.129,745829482631400470,745741622421769531,672,
7,C2H11N4P,[M + H]+,C2H12N4P+,,0.000,-4.665,-4.665,0.000,0,0.000,12.029,12.029,12.128,,123.081,668,11.129,745829482631400471,745741622421769531,672,
1,C20H41NO3,[M + H]+,C20H42NO3+,,1.000,60.721,57.797,2.924,19,0.459,-0.066,6.437,0.613,,344.316,669,11.142,745829489497476675,745741834645205199,11144,
2,C18H39N4O2,[M + H]+,C18H40N4O2+,,0.000,35.748,33.748,2.000,20,0.610,2.494,6.836,4.512,,344.316,669,11.142,745829489497476676,745741834645205199,11144,
3,C16H37N7O,[M + H]+,C16H38N7O+,,0.000,30.248,29.816,0.432,18,0.564,4.411,6.836,8.412,,344.316,669,11.142,745829489497476677,745741834645205199,11144,
4,C19H42N3P,[M + H]+,C19H43N3P+,,0.000,0.676,-1.786,2.462,8,0.180,6.283,8.256,-8.073,,344.316,669,11.142,745829489497476678,745741834645205199,11144,
5,C23H39N2,[M + H]+,C23H40N2+,,0.000,-3.046,-3.046,0.000,6,0.129,6.445,7.176,-7.171,,344.316,669,11.142,745829489497476679,745741834645205199,11144,
1,C16H22O9,[M + H]+,C16H23O9+,,0.994,74.169,72.183,1.986,20,0.695,6.980,6.980,3.337,,359.135,670,11.166,745829592752871847,745741854509432623,12064,
2,C16H27BrN2O2,[M + H]+,C16H28BrN2O2+,,0.003,68.511,68.511,0.000,20,0.792,7.020,7.020,5.543,,359.135,670,11.166,745829592752871848,745741854509432623,12064,
3,C15H24N3O3S2,[M + H]+,C15H25N3O3S2+,,0.002,68.071,68.071,0.000,26,0.836,7.260,7.260,4.656,,359.135,670,11.166,745829592752871849,745741854509432623,12064,
4,C15H23N2O6P,[M + H]+,C15H24N2O6P+,,0.000,66.278,64.188,2.090,20,0.774,7.046,7.046,-4.991,,359.135,670,11.166,745829592752871850,745741854509432623,12064,
5,C17H18N4O5,[M + H]+,C17H19N4O5+,,0.000,62.537,60.104,2.433,19,0.745,9.836,9.836,-0.387,,359.135,670,11.166,745829592752871851,745741854509432623,12064,
6,C16H23ClN2O5,[M + H]+,C16H24ClN2O5+,,0.000,60.781,60.781,0.000,21,0.779,7.087,7.087,-5.482,,359.135,670,11.166,745829592752871852,745741854509432623,12064,
7,C13H23FO10,[M + H]+,C13H24FO10+,,0.000,59.026,58.088,0.938,23,0.713,1.593,6.066,0.155,,359.135,670,11.166,745829592752871853,745741854509432623,12064,
8,C19H20NO6,[M + H]+,C19H21NO6+,,0.000,57.619,55.061,2.558,18,0.644,6.980,6.980,-4.126,,359.135,670,11.166,745829592752871854,745741854509432623,12064,
9,C15H26O6Si2,[M + H]+,C15H27O6Si2+,,0.000,51.891,51.891,0.000,23,0.711,6.766,6.766,2.197,,359.135,670,11.166,745829592752871855,745741854509432623,12064,
10,C14H22N4O5S,[M + H]+,C14H23N4O5S+,,0.000,51.063,51.063,0.000,23,0.848,2.670,7.087,-9.774,,359.135,670,11.166,745829592752871856,745741854509432623,12064,
1,C26H48N2O5,[M + H]+,C26H49N2O5+,,0.998,28.274,28.274,0.000,25,0.791,-1.292,5.722,-2.758,,469.362,670,11.166,745829639884282334,745741979906562535,17882,
2,C24H46N5O4,[M + H]+,C24H47N5O4+,,0.002,21.984,21.984,0.000,23,0.786,-0.362,2.645,0.103,,469.362,670,11.166,745829639884282335,745741979906562535,17882,
3,C27H44N6O,[M + H]+,C27H45N6O+,,0.000,17.157,17.157,0.000,24,0.770,1.735,6.131,-5.607,,469.362,670,11.166,745829639884282336,745741979906562535,17882,
4,C22H44N8O3,[M + H]+,C22H45N8O3+,,0.000,13.015,13.015,0.000,15,0.744,-0.362,2.247,2.964,,469.362,670,11.166,745829639884282337,745741979906562535,17882,
5,C21H49ClN6O3,[M + H]+,C21H50ClN6O3+,,0.000,9.509,9.509,0.000,22,0.787,-1.855,3.767,-0.935,,469.362,670,11.166,745829639884282338,745741979906562535,17882,
6,C21H48N4O7,[M + H]+,C21H49N4O7+,,0.000,7.697,7.697,0.000,29,0.808,2.004,4.281,5.813,,469.362,670,11.166,745829639884282339,745741979906562535,17882,
7,C24H45FN6O2,[M + H]+,C24H46FN6O2+,,0.000,7.240,7.240,0.000,25,0.755,-0.612,4.935,-8.042,,469.362,670,11.166,745829639884282340,745741979906562535,17882,
8,C20H49N6O4P,[M + H]+,C20H50N6O4P+,,0.000,6.693,6.693,0.000,24,0.792,-1.385,3.947,-0.559,,469.362,670,11.166,745829639884282341,745741979906562535,17882,
9,C29H48N2OSi,[M + H]+,C29H49N2OSi+,,0.000,4.516,4.516,0.000,15,0.730,2.247,4.471,3.063,,469.362,670,11.166,745829639884282342,745741979906562535,17882,
10,C27H46F2N2O2,[M + H]+,C27H47F2N2O2+,,0.000,4.057,4.057,0.000,22,0.776,1.900,4.665,4.886,,469.362,670,11.166,745829639884282343,745741979906562535,17882,
1,C8H4O3,[M + H]+,C8H5O3+,,1.000,36.090,33.938,2.153,4,0.639,-1.733,1.733,-0.443,,149.023,670,11.168,745829592736094619,745741635801601819,1304,
2,C5H5FO4,[M + H]+,C5H6FO4+,,0.000,28.310,26.843,1.467,4,0.639,-12.135,12.135,-8.112,,149.023,670,11.168,745829592736094620,745741635801601819,1304,
3,C3H3FN3O3,[M + H]+,C3H4FN3O3+,,0.000,23.407,23.407,0.000,4,0.639,0.868,1.041,0.898,,149.023,670,11.168,745829592736094621,745741635801601819,1304,
4,C6H2N3O2,[M + H]+,C6H3N3O2+,,0.000,16.681,16.131,0.550,3,0.532,10.618,10.618,8.567,,149.023,670,11.168,745829592736094622,745741635801601819,1304,
5,C4H7NO3P,[M + H]+,C4H8NO3P+,,0.000,15.572,14.580,0.992,4,0.639,-5.259,5.259,-2.528,,149.023,670,11.168,745829592736094623,745741635801601819,1304,
6,C2H5N4O2P,[M + H]+,C2H6N4O2P+,,0.000,11.975,11.975,0.000,3,0.532,6.143,7.656,6.482,,149.023,670,11.168,745829592736094624,745741635801601819,1304,
7,C7H10Fe,[M + H]+,C7H11Fe+,,0.000,8.904,8.904,0.000,3,0.293,-3.089,3.089,-12.635,,149.023,670,11.168,745829592736094625,745741635801601819,1304,
8,C3H4F4O2,[M + H]+,C3H5F4O2+,,0.000,7.783,7.783,0.000,2,0.363,8.064,8.262,8.292,,149.023,670,11.168,745829592736094626,745741635801601819,1304,
1,C17H25NO2,[M + H]+,C17H26NO2+,,0.924,47.134,45.511,1.624,16,0.804,6.674,6.674,1.088,,276.196,670,11.168,745829592631236620,745741748880059995,6888,
2,C14H26FNO3,[M + H]+,C14H27FNO3+,,0.076,44.641,41.960,2.681,17,0.827,2.251,2.867,-3.050,,276.196,670,11.168,745829592631236621,745741748880059995,6888,
3,C11H25BN2O5,[M + H]+,C11H26BN2O5+,,0.000,23.629,23.629,0.000,14,0.855,3.784,3.784,-1.645,,276.196,670,11.168,745829592631236622,745741748880059995,6888,
4,C13H28N2O2P,[M + H]+,C13H29N2O2P+,,0.000,19.925,17.360,2.566,19,0.826,6.231,6.569,-0.037,,276.196,670,11.168,745829592631236623,745741748880059995,6888,
5,C12H27N4OS,[M + H]+,C12H28N4OS+,,0.000,13.275,13.275,0.000,17,0.811,-0.985,5.965,-6.256,,276.196,670,11.168,745829592631236624,745741748880059995,6888,
6,C12H26ClN5,[M + H]+,C12H27ClN5+,,0.000,12.506,12.506,0.000,14,0.800,8.524,8.524,4.185,,276.196,670,11.168,745829592631236625,745741748880059995,6888,
7,C10H25N7S,[M + H]+,C10H26N7S+,,0.000,10.705,10.705,0.000,14,0.785,2.494,4.235,-1.395,,276.196,670,11.168,745829592631236626,745741748880059995,6888,
8,C15H23N4O,[M + H]+,C15H24N4O+,,0.000,10.220,9.394,0.826,16,0.256,9.619,9.619,5.949,,276.196,670,11.168,745829592631236627,745741748880059995,6888,
9,C10H22FN7O,[M + H]+,C10H23FN7O+,,0.000,3.682,3.682,0.000,12,0.202,6.687,7.872,6.673,,276.196,670,11.168,745829592631236628,745741748880059995,6888,
10,C15H24F3N,[M + H]+,C15H25F3N+,,0.000,1.905,1.306,0.599,6,0.131,9.954,9.954,9.939,,276.196,670,11.168,745829592631236629,745741748880059995,6888,
1,C13H28O4,[M + H]+,C13H29O4+,,1.000,62.809,62.809,0.000,10,0.534,-0.563,4.068,0.076,,249.206,670,11.169,745829590391478212,745741718353909367,5359,
2,C13H29FOSi,[M + H]+,C13H30FOSi+,,0.000,53.132,53.132,0.000,10,0.640,-0.563,5.216,6.452,,249.206,670,11.169,745829590391478213,745741718353909367,5359,
3,C14H24N4,[M + H]+,C14H25N4+,,0.000,51.510,51.510,0.000,11,0.635,2.514,3.563,-5.291,,249.206,670,11.169,745829590391478214,745741718353909367,5359,
4,C11H26N3O3,[M + H]+,C11H27N3O3+,,0.000,28.741,28.741,0.000,8,0.455,-0.563,2.697,5.464,,249.206,670,11.169,745829590391478215,745741718353909367,5359,
5,C9H24N6O2,[M + H]+,C9H25N6O2+,,0.000,26.886,26.886,0.000,7,0.318,1.521,4.427,10.851,,249.206,670,11.169,745829590391478216,745741718353909367,5359,
6,C10H27N5P,[M + H]+,C10H28N5P+,,0.000,14.690,14.690,0.000,11,0.635,1.015,4.075,-6.538,,249.206,670,11.169,745829590391478217,745741718353909367,5359,
1,C16H28O5,[M + H3N + H]+,C16H32NO5+,,1.000,51.547,48.066,3.481,18,0.765,2.611,4.328,1.179,,318.228,671,11.191,745829597681179859,745741801271121695,9500,
2,C17H24N4O,[M + H3N + H]+,C17H28N5O+,,0.000,36.604,33.477,3.127,16,0.734,1.607,3.022,-3.024,,318.228,671,11.191,745829597681179860,745741801271121695,9500,
3,C19H26NO2,[M + H3N + H]+,C19H30N2O2+,,0.000,33.919,30.803,3.116,15,0.724,0.121,4.645,-7.243,,318.228,671,11.191,745829597681179861,745741801271121695,9500,
4,C14H25FN4O2,[M + H3N + H]+,C14H29FN5O2+,,0.000,25.953,23.437,2.516,15,0.724,0.121,4.645,-6.615,,318.228,671,11.191,745829597681179862,745741801271121695,9500,
5,C14H26N3O4,[M + H3N + H]+,C14H30N4O4+,,0.000,23.463,22.262,1.200,15,0.750,6.628,6.628,5.398,,318.228,671,11.191,745829597681179863,745741801271121695,9500,
6,C15H32O2Si2,[M + H3N + H]+,C15H36NO2Si2+,,0.000,22.203,22.203,0.000,15,0.724,2.530,3.381,-0.107,,318.228,671,11.191,745829597681179864,745741801271121695,9500,
7,C15H29N2O2P,[M + H3N + H]+,C15H33N3O2P+,,0.000,21.723,18.986,2.738,15,0.724,0.121,4.645,-8.219,,318.228,671,11.191,745829597681179865,745741801271121695,9500,
8,C16H29FO2Si,[M + H3N + H]+,C16H33FNO2Si+,,0.000,21.566,21.566,0.000,20,0.444,3.337,5.345,6.173,,318.228,671,11.191,745829597681179866,745741801271121695,9500,
9,C14H27F3O3,[M + H3N + H]+,C14H31F3NO3+,,0.000,20.965,20.704,0.261,22,0.563,2.544,5.192,8.861,,318.228,671,11.191,745829597681179867,745741801271121695,9500,
10,C12H24N6O3,[M + H3N + H]+,C12H28N7O3+,,0.000,20.096,20.096,0.000,16,0.174,3.337,3.696,9.618,,318.228,671,11.191,745829597681179868,745741801271121695,9500,
1,C16H28O2,[M + H]+,C16H29O2+,,1.000,113.274,111.100,2.174,21,0.865,-3.923,4.316,0.704,,253.216,672,11.203,745829597664402636,745741722942478847,5585,
2,C14H26N3O,[M + H]+,C14H27N3O+,,0.000,71.797,70.866,0.932,21,0.849,0.285,5.999,6.007,,253.216,672,11.203,745829597664402637,745741722942478847,5585,
3,C9H25FN6O,[M + H]+,C9H26FN6O+,,0.000,48.253,48.253,0.000,19,0.816,-1.886,4.112,6.796,,253.216,672,11.203,745829597664402638,745741722942478847,5585,
1,C18H28O3,[M + H]+,C18H29O3+,,1.000,85.621,85.560,0.061,33,0.885,-2.926,3.864,-4.790,,293.210,672,11.203,745829643533327284,745741769927081627,7930,
2,C15H29FO4,[M + H]+,C15H30FO4+,,0.000,66.366,64.797,1.569,31,0.856,-8.131,8.131,-8.688,,293.210,672,11.203,745829643533327285,745741769927081627,7930,
3,C16H26N3O2,[M + H]+,C16H27N3O2+,,0.000,58.686,57.682,1.003,30,0.843,-1.754,3.574,-0.211,,293.210,672,11.203,745829643533327286,745741769927081627,7930,
4,C13H28N2O5,[M + H]+,C13H29N2O5+,,0.000,57.299,56.319,0.979,31,0.852,-0.554,5.540,8.930,,293.210,672,11.203,745829643533327287,745741769927081627,7930,
5,C14H24N6O,[M + H]+,C14H25N6O+,,0.000,51.936,51.279,0.656,29,0.816,-0.554,4.408,4.369,,293.210,672,11.203,745829643533327288,745741769927081627,7930,
6,C16H27F3O,[M + H]+,C16H28F3O+,,0.000,50.269,48.772,1.498,29,0.711,-0.889,3.600,3.548,,293.210,672,11.203,745829643533327289,745741769927081627,7930,
7,C11H25FN6O2,[M + H]+,C11H26FN6O2+,,0.000,31.016,28.926,2.091,27,0.776,-1.956,3.909,0.471,,293.210,672,11.203,745829643533327290,745741769927081627,7930,
8,C12H29N4O2P,[M + H]+,C12H30N4O2P+,,0.000,27.139,24.697,2.443,27,0.776,-1.939,2.742,-1.270,,293.210,672,11.203,745829643533327291,745741769927081627,7930,
9,C13H29ClN4O,[M + H]+,C13H30ClN4O+,,0.000,25.404,25.404,0.000,27,0.715,-2.437,3.904,-1.872,,293.210,672,11.203,745829643533327292,745741769927081627,7930,
10,C14H31NO3P,[M + H]+,C14H32NO3P+,,0.000,24.159,21.855,2.304,28,0.810,-3.186,4.077,-5.850,,293.210,672,11.203,745829643533327293,745741769927081627,7930,
1,C10H24N4O2,[M + H]+,C10H25N4O2+,,0.998,41.549,41.158,0.391,13,0.105,-8.612,10.829,-6.469,,233.196,672,11.207,745829646167350434,745741702423939571,4558,
2,C8H24BN5S,[M + H]+,C8H25BN5S+,,0.001,35.018,35.018,0.000,14,0.525,6.581,9.138,1.024,,233.196,672,11.207,745829646167350435,745741702423939571,4558,
3,C8H22N7O,[M + H]+,C8H23N7O+,,0.000,33.020,33.020,0.000,12,0.094,-0.251,4.229,-0.711,,233.196,672,11.207,745829646167350436,745741702423939571,4558,
4,C6H20N10,[M + H]+,C6H21N10+,,0.000,16.496,16.496,0.000,7,0.059,-1.060,5.879,5.047,,233.196,672,11.207,745829646167350437,745741702423939571,4558,
5,C13H28OS,[M + H]+,C13H29OS+,,0.000,0.391,0.391,0.000,0,0.000,,,9.996,,233.196,672,11.207,745829646167350438,745741702423939571,4558,
1,C12H24O4,[M + H]+,C12H25O4+,,1.000,57.674,55.060,2.614,10,0.934,2.498,8.931,2.259,,233.175,673,11.210,745829647324978524,745741702243584463,4549,
2,C10H22N3O3,[M + H]+,C10H23N3O3+,,0.000,35.189,34.544,0.645,9,0.899,10.795,10.795,8.017,,233.175,673,11.210,745829647324978525,745741702243584463,4549,
3,C13H20N4,[M + H]+,C13H21N4+,,0.000,34.414,32.728,1.686,8,0.821,8.931,9.065,-3.477,,233.175,673,11.210,745829647324978526,745741702243584463,4549,
4,C12H25FOSi,[M + H]+,C12H26FOSi+,,0.000,28.059,28.059,0.000,9,0.848,-3.509,5.708,9.074,,233.175,673,11.210,745829647324978527,745741702243584463,4549,
5,C11H28OSi2,[M + H]+,C11H29OSi2+,,0.000,18.843,18.843,0.000,7,0.796,-3.513,9.042,0.504,,233.175,673,11.210,745829647324978528,745741702243584463,4549,
6,C12H28SSi,[M + H]+,C12H29SSi+,,0.000,13.519,13.519,0.000,5,0.708,8.819,9.042,-0.482,,233.175,673,11.210,745829647324978529,745741702243584463,4549,
7,C9H23N5P,[M + H]+,C9H24N5P+,,0.000,3.899,3.125,0.774,6,0.756,7.224,10.009,-4.809,,233.175,673,11.210,745829647324978530,745741702243584463,4549,
1,C10H18N6O2,[M + H]+,C10H19N6O2+,,0.974,15.962,15.679,0.282,7,0.251,4.231,5.492,5.272,,255.158,673,11.211,745829648797179445,745741725433895915,5708,
2,C12H20N3O3,[M + H]+,C12H21N3O3+,,0.021,12.130,11.366,0.764,5,0.178,1.794,4.018,0.009,,255.158,673,11.211,745829648797179446,745741725433895915,5708,
3,C14H22O4,[M + H]+,C14H23O4+,,0.005,10.584,10.584,0.000,3,0.116,-4.504,4.504,-5.253,,255.158,673,11.211,745829648797179447,745741725433895915,5708,
4,C12H21F3O2,[M + H]+,C12H22F3O2+,,0.000,7.863,6.594,1.269,4,0.143,1.939,4.346,4.328,,255.158,673,11.211,745829648797179448,745741725433895915,5708,
5,C8H23N4O3P,[M + H]+,C8H24N4O3P+,,0.000,5.845,3.766,2.079,3,0.104,-3.245,3.582,-1.208,,255.158,673,11.211,745829648797179449,745741725433895915,5708,
6,C11H23FO5,[M + H]+,C11H24FO5+,,0.000,3.544,2.269,1.275,2,0.076,-9.714,9.714,-9.732,,255.158,673,11.211,745829648797179450,745741725433895915,5708,
7,C10H25NO4P,[M + H]+,C10H26NO4P+,,0.000,3.461,1.417,2.044,2,0.076,-5.470,5.470,-6.471,,255.158,673,11.211,745829648797179451,745741725433895915,5708,
8,C6H21N7O2P,[M + H]+,C6H22N7O2P+,,0.000,-3.405,-4.016,0.611,3,0.104,2.826,2.826,4.054,,255.158,673,11.211,745829648797179452,745741725433895915,5708,
9,C4H19N10OP,[M + H]+,C4H20N10OP+,,0.000,-8.321,-8.321,0.000,0,0.000,9.334,9.334,9.316,,255.158,673,11.211,745829648797179453,745741725433895915,5708,
1,C9H24N3O5,[M + H]+,C9H25N3O5+,,0.849,95.163,93.570,1.593,23,0.229,-0.967,5.185,-4.160,,255.178,673,11.212,745829650642673546,745741725551336451,5714,
2,C7H22N6O4,[M + H]+,C7H23N6O4+,,0.151,93.439,92.107,1.331,23,0.235,5.177,6.362,1.101,,255.178,673,11.212,745829650642673547,745741725551336451,5714,
3,C5H20N9O3,[M + H]+,C5H21N9O3+,,0.000,67.103,67.103,0.000,23,0.241,9.601,9.601,6.363,,255.178,673,11.212,745829650642673548,745741725551336451,5714,
4,C12H24F2O3,[M + H]+,C12H25F2O3+,,0.000,56.525,56.451,0.074,20,0.189,4.445,4.933,4.637,,255.178,673,11.212,745829650642673549,745741725551336451,5714,
5,C14H26O2Si,[M + H]+,C14H27O2Si+,,0.000,55.975,55.975,0.000,18,0.173,0.803,5.560,1.284,,255.178,673,11.212,745829650642673550,745741725551336451,5714,
6,C15H23FO2,[M + H]+,C15H24FO2+,,0.000,19.166,19.166,0.000,6,0.061,8.181,8.181,9.115,,255.178,673,11.212,745829650642673551,745741725551336451,5714,
7,C10H20N7O,[M + H]+,C10H21N7O+,,0.000,8.818,8.818,0.000,10,0.112,-5.686,8.078,-9.401,,255.178,673,11.212,745829650642673552,745741725551336451,5714,
8,C8H18N10,[M + H]+,C8H19N10+,,0.000,3.041,3.041,0.000,3,0.042,-1.846,4.914,-4.140,,255.178,673,11.212,745829650642673553,745741725551336451,5714,
9,C10H21F3N4,[M + H]+,C10H22F3N4+,,0.000,2.718,1.894,0.824,5,0.052,-0.320,7.634,-5.083,,255.178,673,11.212,745829650642673554,745741725551336451,5714,
10,C4H21N11P,[M + H]+,C4H22N11P+,,0.000,-13.398,-13.542,0.143,0,0.000,-5.360,5.360,-5.357,,255.178,673,11.212,745829650642673555,745741725551336451,5714,
1,C24H45NO5,[M + H]+,C24H46NO5+,,1.000,91.560,89.979,1.581,47,0.674,2.244,4.041,1.179,,428.338,673,11.213,745829644254747627,745741937380506319,15883,
2,C20H41N7O3,[M + H]+,C20H42N7O3+,,0.000,52.685,52.685,0.000,37,0.786,5.184,5.396,7.448,,428.338,673,11.213,745829644254747628,745741937380506319,15883,
3,C22H42FN5O2,[M + H]+,C22H43FN5O2+,,0.000,43.511,42.577,0.934,33,0.761,2.118,4.949,-4.612,,428.338,673,11.213,745829644254747629,745741937380506319,15883,
4,C22H44F3NO3,[M + H]+,C22H45F3NO3+,,0.000,37.720,37.720,0.000,49,0.717,3.259,5.052,6.886,,428.338,673,11.213,745829644254747630,745741937380506319,15883,
5,C21H45N5O2Si,[M + H]+,C21H46N5O2Si+,,0.000,35.013,35.013,0.000,44,0.617,2.161,6.481,-9.277,,428.338,673,11.213,745829644254747631,745741937380506319,15883,
6,C23H49NO2Si2,[M + H]+,C23H50NO2Si2+,,0.000,32.688,32.688,0.000,45,0.637,1.857,3.827,0.223,,428.338,673,11.213,745829644254747632,745741937380506319,15883,
7,C24H46FNO2Si,[M + H]+,C24H47FNO2Si+,,0.000,30.665,30.665,0.000,46,0.642,3.083,4.877,4.889,,428.338,673,11.213,745829644254747633,745741937380506319,15883,
8,C23H46N3O2P,[M + H]+,C23H47N3O2P+,,0.000,30.000,29.023,0.977,41,0.804,2.187,5.284,-5.804,,428.338,673,11.213,745829644254747634,745741937380506319,15883,
9,C25H43F2NO2,[M + H]+,C25H44F2NO2+,,0.000,29.911,29.911,0.000,46,0.697,2.192,5.705,9.554,,428.338,673,11.213,745829644254747635,745741937380506319,15883,
10,C25H41N5O,[M + H]+,C25H42N5O+,,0.000,29.086,26.661,2.425,35,0.726,2.080,5.775,-1.943,,428.338,673,11.213,745829644254747636,745741937380506319,15883,
1,C10H18O2,[M + H]+,C10H19O2+,,1.000,26.098,24.765,1.332,8,0.963,-0.387,2.571,7.035,,171.139,673,11.214,745829646930713847,745741653514150971,2144,
1,C22H31N3O8,[M + Na]+,C22H31N3NaO8+,,0.920,45.408,41.749,3.659,13,0.841,2.600,2.600,4.213,,488.202,673,11.218,745829653306057243,745741996180465182,18658,
2,C23H27N7O4,[M + Na]+,C23H27N7NaO4+,,0.079,42.955,39.659,3.296,11,0.823,0.798,3.186,1.474,,488.202,673,11.218,745829653306057244,745741996180465182,18658,
3,C27H31NO6,[M + Na]+,C27H31NNaO6+,,0.001,38.542,36.094,2.449,9,0.696,-0.638,2.816,-4.027,,488.202,673,11.218,745829653306057245,745741996180465182,18658,
4,C20H28FN7O5,[M + Na]+,C20H28FN7NaO5+,,0.000,34.398,29.892,4.506,11,0.823,-0.321,2.696,-0.867,,488.202,673,11.218,745829653306057246,745741996180465182,18658,
5,C28H27N5O2,[M + Na]+,C28H27N5NaO2+,,0.000,32.540,32.540,0.000,10,0.814,-4.727,4.727,-6.766,,488.202,673,11.218,745829653306057247,745741996180465182,18658,
6,C19H32FN3O9,[M + Na]+,C19H32FN3NaO9+,,0.000,31.838,27.666,4.172,13,0.841,-0.232,2.300,1.872,,488.202,673,11.218,745829653306057248,745741996180465182,18658,
7,C18H27F4N7O3,[M + Na]+,C18H27F4N7NaO3+,,0.000,31.470,28.440,3.031,12,0.834,2.292,2.292,4.140,,488.202,673,11.218,745829653306057249,745741996180465182,18658,
8,C22H31F4NO5,[M + Na]+,C22H31F4NNaO5+,,0.000,29.962,24.803,5.159,11,0.716,-2.674,4.746,-1.360,,488.202,673,11.218,745829653306057250,745741996180465182,18658,
9,C21H32N5O5P,[M + Na]+,C21H32N5NaO5P+,,0.000,29.836,25.091,4.745,9,0.696,-1.118,3.189,-1.913,,488.202,673,11.218,745829653306057251,745741996180465182,18658,
10,C21H26F3N7O2,[M + Na]+,C21H26F3N7NaO2+,,0.000,29.069,26.479,2.589,11,0.823,3.237,3.641,6.481,,488.202,673,11.218,745829653306057252,745741996180465182,18658,
1,C25H14O2,[M + K]+,C25H14KO2+,,0.378,4.500,4.500,0.000,0,0.000,,,-4.536,,385.061,673,11.223,745829650659450773,745741887652828947,13593,
2,C20H14N2O4,[M + K]+,C20H14KN2O4+,,0.160,3.638,3.638,0.000,1,0.977,5.509,5.509,5.911,,385.061,673,11.223,745829650659450774,745741887652828947,13593,
3,C13H18N2O9,[M + K]+,C13H18KN2O9+,,0.103,3.199,3.199,0.000,1,0.977,5.509,5.509,-9.342,,385.061,673,11.223,745829650659450775,745741887652828947,13593,
4,C17H15FN2O5,[M + K]+,C17H15FKN2O5+,,0.039,2.218,2.218,0.000,1,0.977,5.509,5.509,2.943,,385.061,673,11.223,745829650659450776,745741887652828947,13593,
5,C20H15ClN4,[M + K]+,C20H15ClKN4+,,0.036,2.155,2.155,0.000,1,0.977,5.509,5.509,-2.315,,385.061,673,11.223,745829650659450777,745741887652828947,13593,
6,C13H14N8O2S,[M + K]+,C13H14KN8O2S+,,0.036,2.148,2.148,0.000,1,0.977,5.509,5.509,4.130,,385.061,673,11.223,745829650659450778,745741887652828947,13593,
7,C17H18N2O4S,[M + K]+,C17H18KN2O4S+,,0.035,2.121,2.121,0.000,1,0.977,5.509,5.509,-2.844,,385.061,673,11.223,745829650659450779,745741887652828947,13593,
8,C12H18N4O6S,[M + K]+,C12H18KN4O6S+,,0.028,1.899,1.899,0.000,1,0.977,5.509,5.509,7.603,,385.061,673,11.223,745829650659450780,745741887652828947,13593,
9,C18H14N6S,[M + K]+,C18H14KN6S+,,0.027,1.866,1.866,0.000,1,0.977,5.509,5.509,-6.317,,385.061,673,11.223,745829650659450781,745741887652828947,13593,
10,C15H15ClN6O2,[M + K]+,C15H15ClKN6O2+,,0.027,1.856,1.856,0.000,1,0.977,5.509,5.509,8.133,,385.061,673,11.223,745829650659450782,745741887652828947,13593,
1,C7H13Cl3O3,[M + H]+,C7H14Cl3O3+,,0.990,26.102,26.102,0.000,7,0.775,7.576,7.576,3.106,,251.001,674,11.226,745829653515772518,745741719402485579,5412,
2,C6H13Cl2O4P,[M + H]+,C6H14Cl2O4P+,,0.009,21.444,21.444,0.000,5,0.750,4.060,4.908,3.809,,251.001,674,11.226,745829653515772519,745741719402485579,5412,
