"id","mz","rtime","JO_F_S_A_1A","JO_F_S_A_1B","JO_F_S_A_1C","JO_L_MB_A_1Q","JO_L_MB_A_1Qx","JO_F_S_A_2A","JO_F_S_A_2B","JO_F_S_A_2C","JO_L_MB_A_2Q","JO_F_S_A_3A","JO_F_S_A_3B","JO_F_S_A_3C","JO_L_MB_A_3Q","JO_F_S_A_4A","JO_F_S_A_4B","JO_F_Bk_A_4bl","JO_F_S_A_4C","JO_L_MB_A_4Q","JO_F_S_A_5A","JO_F_Bk_A_5a.bl","JO_F_S_A_5B","JO_F_Bk_A_5b.bl","JO_F_S_A_5C","JO_F_Bk_A_5c.bl","JO_F_Bk_A_5d.bl","JO_L_MB_A_5Q","JO_L_MB_A_6Q","JO_L_SB_UP_ACN2_","JO_L_SB_UP_ACN2_x","JO_L_SB_UP_ACN2_y","JO_L_SB_UP_ACN2_z","JO_F_Bk_P_D_b","JO_F_Bk_P_D_c","JO_F_Bk_P_G_d","JO_F_Bk_P_G_e","JO_F_Bk_P_G_f","JO_F_S_P_D_1b","JO_F_S_P_D_1c","JO_F_S_P_G_1d","JO_F_S_P_G_1e","JO_F_S_P_G_1f","JO_L_MB_P_D_1q","JO_L_MB_P_D_1qx","JO_L_MB_P_D_1qy","JO_F_S_P_D_2b","JO_F_S_P_D_2c","JO_F_S_P_G_2d","JO_F_S_P_G_2e","JO_F_S_P_G_2f","JO_L_MB_P_D_2q","JO_F_S_P_D_3a","JO_F_S_P_D_3b","JO_F_S_P_D_3c","JO_F_S_P_G_3d","JO_F_S_P_G_3e","JO_F_S_P_G_3f","JO_L_MB_P_D_3q","JO_F_S_P_D_4a","JO_F_S_P_D_4b","JO_F_S_P_D_4c","JO_F_S_P_G_4d","JO_F_S_P_G_4e","JO_F_S_P_G_4f","JO_L_MB_P_D_4q","JO_F_S_P_D_5a","JO_F_S_P_D_5b","JO_F_S_P_D_5c","JO_F_S_P_G_5d","JO_F_S_P_G_5e","JO_F_S_P_G_5f","JO_L_MB_P_D_5q","JO_L_MB_P_D_6q","JO_L_MB_P_D_7q","JO_L_MB_P_D_8q","JO_L_SB_SP_S2_","JO_L_SB_SP_S2_x","JO_L_SB_SP_S2_y","JO_L_SB_SP_S2_z","representative_intensity","parent_masstrack_id","isotope","modification","ion_relation","interim_id","neutral_formula_mass"
"30806",950.72467,18.159,0,0,0,0,0,0,0,311,0,14766,19724,0,323,318,286,0,506,1504,0,292,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2470,1317,3867,0,0,0,18,397,1567,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45267,306,0,0,0,292,0,0,0,1211.84615384615,"950.72467","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3683_1899.9353",1899.93534529984
"30975",961.71259,18.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139599,45069,0,0,0,0,18189,9672,0,0,0,0,0,0,0,0,0,2724.73076923077,"961.71259","M0","Na/H, 2x charged","M0,Na/H, 2x charged","kp3683_1899.9353",1899.93534529984
"31105",972.21387,18.318,1333,1168,1794,0,397,0,0,0,0,6082,3030,5419,0,4669,3326,11096,9331,0,15023,0,21238,0,21227,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,483,1486,1059,0,0,0,0,0,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,935,0,0,0,0,0,0,2537,1947,1111,479,0,0,0,0,1504.5641025641,"972.21387","M0","ACN, 2x charged","M0,ACN, 2x charged","kp3684_1901.8951",1901.89506079984
"30823",951.70538,18.038,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,4077,1357,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,29356,473.102564102564,"951.70538","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3684_1901.8951",1901.89506079984
"30992",962.75635,18.029,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,66,321,0,0,0,0,0,294,0,292,0,0,0,0,47355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,1288,0,0,0,0,292,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,133201,0,0,0,0,0,0,0,0,2359.84615384615,"962.75635","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3685_1897.8283",1897.82828922205
"30827",951.7663,19.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,10731,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9776,273.628205128205,"951.7663","M0","Na/H, 2x charged","M0,Na/H, 2x charged","kp3685_1897.8283",1897.82828922205
"30872",954.24225,18.125,6877,3814,7095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,494,0,0,0,44869,32792,0,0,0,1586,2183,2656,55643,30721,0,0,0,2130,37783,35094,42751,0,0,0,0,58223,62049,71216,0,0,0,762,35972,92041,45724,0,0,0,0,0,0,0,0,0,0,0,8630.64102564103,"954.24133","M0","NH3, 2x charged","M0,NH3, 2x charged","kp3685_1897.8283",1897.82828922205
"30828",951.77094,16.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5378,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38510,572.294871794872,"951.77094","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3686_1902.0347",1902.03465529985
"30994",962.76563,17.328,0,0,0,0,719,297,1631,1550,418,0,0,334,320,0,0,0,0,0,10,0,11,37,347,0,0,0,922,0,0,2165,9275,1781,308,1945,282,693,2322,632,14797,108035,0,0,0,3172,0,466,3853,978,706008,3346,0,0,0,2353,0,609,451,0,440,1653,5847,0,0,0,0,303,16852,2459,0,0,0,324,324,305,319,277,1411,40157,12060.7435897436,"962.76563","M0","Na/H, 2x charged","M0,Na/H, 2x charged","kp3686_1902.0347",1902.03465529985
"31147",977.79724,17.529,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,1538,0,0,0,368,0,0,0,0,38170,0,0,0,25455,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,875.730769230769,"977.79724","M0","M+H+, 2x charged","M0,M+H+, 2x charged","kp3687_1932.1024",1932.10239529984
